Time,Horizontal,Vertical,Series
1,0,0,1
2,-0.13338092638115845,-0.1371741969761613,1
3,-0.2526241180499535,-0.16411723232688377,1
4,-0.09010385577577974,-0.10386409128483437,1
5,-0.05880421050228013,-0.16752667980933386,1
6,-0.5235443242141888,-0.4314736127772758,1
7,-0.5028028665538627,-0.777859843356661,1
8,-0.4867109505674867,-0.599357489985915,1
9,-0.1673056136969026,-0.370040171281153,1
10,-0.04531193371252268,-0.2585239444674934,1
11,0.18455460761674158,-0.2426388831074207,1
12,0.4146143297917676,0.2551738607358417,1
13,0.39956303647307845,0.08723110396559536,1
14,0.7524423164568919,0.22202870054226728,1
15,0.44168324319690155,0.2851247818501035,1
16,0.6970997145089414,0.4241862171221363,1
17,0.8260871269885462,0.24640238163348938,1
18,0.5107351724787941,0.5107121570950136,1
19,0.07436850096241576,0.37487063350202576,1
20,0,0,1
1,0,0,2
2,-0.008936101928891119,0.13037403741413328,2
3,-0.1351519894772088,0.278222953825856,2
4,-0.04760631368744861,0.06356059359927463,2
5,0.22003386709302575,-0.11871708915387155,2
6,0.2561905346828686,-0.1661281454985306,2
7,0.4311768924551666,-0.2340410531086486,2
8,0.600100786493013,-0.10854980059205555,2
9,0.13986039501789627,0.04118447918383633,2
10,0.2500235360441152,0.10014539283069823,2
11,0.5860242453443317,0.2537445559713735,2
12,0.2928310116230549,0.12063283355341897,2
13,-0.29697376106892787,0.21258691972360988,2
14,-0.2574247694477043,-0.12413661964556277,2
15,-0.31735558501528127,0.12444638892593951,2
16,-0.5015575996745055,0.13653889528740515,2
17,-0.4755051099039538,0.1426586067140745,2
18,-0.33282637793937553,0.03653232253546579,2
19,-0.06656465311569315,0.19733686330592903,2
20,0,0,2
1,0,0,3
2,0.28492092332895885,-0.04851875933504779,3
3,0.3237387499917729,-0.10432721087148,3
4,0.1725602073045665,-0.07472551543587508,3
5,-0.17778079416492654,-0.31966143464928054,3
6,-0.14979613182227236,-0.15736549385216544,3
7,-0.3474400070885176,-0.03537878387695073,3
8,-0.1686728564725788,-0.05210403703667757,3
9,-0.0010372113413226192,0.1980685611643637,3
10,0.006043848445727584,-0.21478699085584466,3
11,-0.14179624312906258,-0.5031055648088141,3
12,-0.23149840274768863,-0.6840330909429692,3
13,0.07189979911148647,-0.581834239987172,3
14,-0.08283915196605751,-0.2984664685793631,3
15,-0.37539289055691216,-0.44206764860597786,3
16,-0.24200946459171235,-0.293245356615124,3
17,-0.29332692836818386,-0.07226789818141655,3
18,-0.027093387435692673,-0.07996271865661925,3
19,-0.08390264983827711,-0.10976374157842889,3
20,0,0,3
1,0,0,4
2,-0.019538127896530658,-0.26117907997144696,4
3,-0.12996008822006988,0.061030699919809625,4
4,-0.2924250085779144,0.11345497349601538,4
5,-0.31559185575676796,0.17108008822707205,4
